AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202106,2202539,CARAÚBAS DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,489084.21,2592,39428.4,76,560669.03,3002,37319.51,48,402,10,517,12
202405,2400307,AFONSO BEZERRA,24,RIO GRANDE DO NORTE,NE,NORDESTE,22763090.15,192560,4521373.51,3931,20763332.23,131696,4756658.36,18856,5157,141,4899,135
202501,2921054,MATINA,29,BAHIA,NE,NORDESTE,18097414.14,143955,1897080.88,3395,16264990.15,82409,1729961.54,13777,4935,107,4764,100
202309,2906501,CANDEIAS,29,BAHIA,NE,NORDESTE,226849903.67,1704987,97530121.01,61349,221414152.48,1272105,96740614.8,148749,51837,1748,52280,1650
202404,2311603,REDENÇÃO,23,CEARÁ,NE,NORDESTE,57923580.45,511098,9404274.5,13268,55715486.53,345608,8828134.15,52356,15271,385,14908,335
202508,4104105,CAMPO DO TENENTE,41,PARANÁ,SU,SUL,26726646.71,183508,20032319.54,11445,25649114.94,90437,17385488.61,26864,4698,322,4621,341
202404,4319307,SÃO PAULO DAS MISSÕES,43,RIO GRANDE DO SUL,SU,SUL,10227961.86,36632,3316673.7,2536,9648367.31,19410,3742978.26,7100,2336,180,2175,187
202107,5203807,BRITÂNIA,52,GOIÁS,CO,CENTRO-OESTE,6630724.42,15494,2508549.3,1776,6483757.72,13903,4001959.12,3157,1637,136,1739,131
202409,3304144,QUEIMADOS,33,RIO DE JANEIRO,SE,SUDESTE,571035217.53,5162376,205166331.35,152015,576951162.35,3735568,198365369.7,518629,124829,3956,124797,3648
202203,3113800,CARMÉSIA,31,MINAS GERAIS,SE,SUDESTE,2508717.32,9677,1318977.57,448,2431658.12,8296,1143054.06,765,809,40,833,41
202404,4314308,PEJUÇARA,43,RIO GRANDE DO SUL,SU,SUL,16055787.89,43108,3301787.46,2435,13022309.07,21136,3354067.98,5962,2045,163,1837,166
202308,3112208,CAPELA NOVA,31,MINAS GERAIS,SE,SUDESTE,5301412.35,22367,905809.69,869,4742868.62,15652,1742851.93,4317,1513,67,1442,72
202209,4306304,DAVID CANABARRO,43,RIO GRANDE DO SUL,SU,SUL,4792625.45,14046,2139400.65,1611,3987488.03,9075,1982802.62,2898,1463,157,1234,147
